#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
6000,-15.610001229139016,3.5069891810417175,-12.103012048097298,93.73185512586208
7000,-16.56231446242964,3.150626391172409,-13.411688071257231,84.20729041581181
8000,-18.87793163837341,2.847570776939392,-16.03036086143402,76.10747502946077
9000,-18.11657861162894,4.790549129247665,-13.326029482381273,128.03776509586714
10000,-16.004813687522983,2.7293310165405273,-13.275482670982456,72.94726223161834
11000,-15.687408050238673,2.0539411306381226,-13.63346691960055,54.89600981227884
12000,-13.996881229300925,1.2308249566704035,-12.766056272630522,32.89645350136408
13000,-20.577306149807555,3.870531477034092,-16.706774672773463,103.44830763284094
14000,-19.518651577280252,1.5894735902547836,-17.92917798702547,42.48211231831941
15000,-20.151562485305476,3.551315188407898,-16.600247296897578,94.91656334315992
16000,-18.219897336141003,6.542042851448059,-11.677854484692944,174.85021513438676
17000,-18.37124594114357,2.7617249488830566,-15.609520992260514,73.81305999047684
18000,-16.912928026882582,4.905070424079895,-12.007857602802687,131.09859387574156
19000,-19.250069709527452,4.620636701583862,-14.62943300794359,123.49648873836884
20000,-18.326984529769106,2.9534066170454025,-15.373577912723704,78.93616628564361
21000,-19.317600670568936,2.8430642187595367,-16.4745364518094,75.98702753543543
22000,-17.34147843804749,6.961047947406769,-10.38043049064072,186.0490306778478
23000,-20.37609301806515,2.4264539778232574,-17.94963904024189,64.85221966135168
24000,-21.10611773303026,4.030809044837952,-17.075308688192308,107.73207156531319
25000,-15.480504878185457,2.316491037607193,-13.164013840578264,61.913222747057134
26000,-13.712162094911037,2.011991411447525,-11.700170683463512,53.77481302530281
27000,-17.215394716437004,3.7061077803373337,-13.50928693609967,99.05372945696493
28000,-17.163043766740884,1.1017655581235886,-16.061278208617296,29.447062521598443
29000,-20.832245742152736,5.300377666950226,-15.53186807520251,141.66403314747595
30000,-19.53324602383509,3.9559648036956787,-15.577281220139412,105.73169768173344
31000,-15.369515085374587,2.420774132013321,-12.948740953361266,64.70041352306298
32000,-17.692370665918133,1.3320442587137222,-16.36032640720441,35.601757813779166
33000,-17.227342694495746,3.8735305070877075,-13.353812187408039,103.52846318393964
34000,-15.235987770014617,1.3186708949506283,-13.917316875063989,35.24432580299223
35000,-19.457865423963085,5.177351802587509,-14.280513621375576,138.375901391177
36000,-19.66551045521919,2.614958882331848,-17.050551572887343,69.89042009134712
37000,-18.70230272259505,3.0806554555892944,-15.621647267005756,82.3371661415335
38000,-19.452382248804497,3.893519163131714,-15.558863085672783,104.06270315896032
39000,-16.92466370220427,3.88548082113266,-13.03918288107161,103.8478611195892
40000,-14.107318569847848,1.643477588891983,-12.463840980955865,43.92548574069639
41000,-13.972698386285629,5.766753196716309,-8.20594518956932,154.12892577577225
42000,-19.1411755258232,4.667614221572876,-14.473561304250325,124.75206435336818
43000,-20.123707485046907,3.0386166498064995,-17.085090835240408,81.21358832310214
44000,-16.11473458992623,3.9279571175575256,-12.186777472368703,104.98313181968187
45000,-18.410645451520395,3.2836996018886566,-15.126945849631738,87.76395918896256
