#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
89000,-17.848438398024882,1.6311991065740585,-16.217239291450824,43.59731679965412
90000,-17.8969154751685,10.41445206105709,-7.4824634141114075,278.3487092230716
91000,-16.29978539863805,2.1626999862492085,-14.137085412388842,57.80282496668567
92000,-19.889445305485424,5.182857483625412,-14.706587821860012,138.52305260002692
93000,-17.48499513322895,3.517796143889427,-13.967198989339522,94.02069453302877
94000,-21.201507321609824,4.543399333953857,-16.658107987655967,121.43215338423235
95000,-15.807515988512023,3.337260290980339,-12.470255697531684,89.19548420692446
96000,-14.594870672313846,2.2568074613809586,-12.338063210932887,60.31805035517396
97000,-18.602609918878443,3.8759695887565613,-14.726640330121882,103.59365290589858
98000,-21.59372871083542,6.086161971092224,-15.507566739743197,162.66581466256355
99000,-18.47121447574318,3.411514639854431,-15.05969983588875,91.18009194645111
100000,-20.014292352483608,3.4193997383117676,-16.59489261417184,91.39083822141872
101000,-20.01010021768161,6.3082016706466675,-13.701898547034943,168.60030486952934
102000,-19.97799100698103,1.738859385251999,-18.23913162172903,46.47477011442401
103000,-18.842066310957307,1.3281471133232117,-17.513919197634095,35.49759819186689
104000,-19.438113258402154,2.7242655158042908,-16.713847742597864,72.81187579138762
105000,-18.653418713704013,3.833649307489395,-14.819769406214618,102.46255204762863
